Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)
166	450.165	792.376	-526.482	14.862	18	298.786	802.929	-486.654	16.140	42	156.886063861645	68.5232502605861	50.7083333333333
167	585.830	1124.723	50.760	18.533	19	635.629	1093.470	70.272	18.355	42	64.4620232540058	80.3549122491307	34.6969696969697
168	603.938	884.715	-732.291	16.072	19	582.973	837.636	-881.057	16.635	118	166.633294020133	39.2606411342178	56.9659714599341
169	379.622	777.814	-387.930	15.441	19	141.610	841.075	-469.542	19.722	118	259.44591885208	32.3455891173258	68.8181818181818
170	379.622	777.814	-387.930	15.441	19	141.610	841.075	-469.542	19.722	118	259.44591885208	33.3388420279495	68.8181818181818
171	697.360	918.817	-692.426	15.637	19	640.496	943.979	-808.672	15.663	65	131.832368013322	69.8354078871588	43.3623188405797
172	520.154	866.583	-538.572	17.911	19	259.070	974.424	-600.307	15.826	84	297.721187375034	62.9990177653306	63.7538461538462
173	539.649	1595.423	-744.276	15.969	19	583.785	1622.871	-810.554	14.386	43	98.0980294654281	72.9899546308207	2.83333333333333
174	390.634	1429.014	-669.007	14.114	19	473.507	1298.550	-790.519	17.506	52	196.606092400515	91.2058215350439	13.9393939393939
175	475.449	1293.135	22.794	20.275	20	585.450	1334.497	149.694	19.530	79	184.775153513669	104.464808016887	21.3883495145631
176	290.862	1448.262	-576.793	20.211	20	814.826	1504.918	-809.882	15.462	86	576.262663681242	155.942005123124	15.3761904761905
177	517.400	1164.091	-653.776	14.940	20	690.536	1141.713	-797.159	21.213	118	291.097501456127	259.839160019077	64.5767691556857
178	232.236	1066.634	-484.872	15.565	20	173.241	1296.996	-486.534	21.213	118	244.838998023191	114.070096226458	32.0631041148854
179	635.192	1152.178	62.076	18.772	21	632.540	1195.344	149.208	15.743	118	121.099683599917	75.8128750151704	46.3166986564299
180	313.434	714.474	-265.506	17.732	21	146.816	759.816	-163.272	15.120	64	210.714929494803	90.0453004006621	36.3488372093023
181	313.434	714.474	-265.506	17.732	21	146.816	759.816	-163.272	15.120	64	210.714929494803	90.0453004006621	36.3488372093023
