Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
101	161.204	370.744	346.152	10.000	0	217.405	368.840	301.548	10.000	120	73.3404124340735	8.98129583798559	62.4	aFHF
102	162.305	606.304	162.370	10.000	38	142.556	586.685	178.294	10.000	120	32.0702656365675	8.69301248312978	89.7317073170732	aFHF
103	145.941	575.052	179.200	10.000	32	170.598	552.391	256.018	10.000	120	83.800320369316	11.9676384580271	111.977272727273	aFHF
104	152.927	579.544	157.534	10.000	43	145.861	563.707	230.912	10.000	120	75.3994019140736	11.0567551251239	107.636363636364	aFHF
105	149.033	590.309	145.461	10.000	43	140.578	578.221	197.551	10.000	120	56.6964087222462	9.90876877267064	95.7402597402597	aFHF
106	145.657	557.519	145.978	10.000	43	129.723	576.168	175.289	10.000	120	38.2205740145278	9.07282205119576	92.5064935064935	aFHF
107	147.336	561.668	152.846	10.000	43	151.791	573.564	194.751	10.000	120	43.7880219466465	8.90337700907311	97.7272727272727	aFHF
108	144.975	555.547	152.495	10.000	43	160.398	557.607	206.750	10.000	120	56.4421611386382	9.7508744322717	101.818181818182	aFHF
109	143.924	567.320	151.185	10.000	43	140.085	554.647	217.176	10.000	120	67.3064256293558	11.0165922461845	106.727272727273	aFHF
110	109.600	488.080	142.946	10.000	31	126.343	533.991	191.358	10.000	120	68.7885870911738	10.2657365118239	95.561797752809	aFHF
111	161.951	636.125	169.828	10.000	43	168.445	622.135	209.953	10.000	120	43.6643450197069	6.64456725135461	82.2077922077922	aFHF
112	631.948	391.713	311.392	10.000	0	581.028	393.731	272.719	10.000	120	66.7290071483159	9.06724944005125	69.2166666666667	aFHF
113	140.431	475.576	173.543	10.000	18	136.571	489.531	237.228	10.000	120	65.3101894806622	10.6096907175479	105.196078431373	aFHF
114	591.216	595.724	65.729	10.000	61	570.456	611.539	91.756	10.000	120	36.8577882407504	12.1662915115718	85.2203389830509	aFHF
115	174.997	628.191	177.243	10.000	27	182.100	621.784	244.242	10.000	120	67.6784179705761	10.0103761525159	75.1182795698925	aFHF
116	593.027	606.611	68.178	10.000	61	578.125	609.956	86.068	10.000	120	33.119844111952	10.9232372674824	83.2033898305085	aFHF
117	204.917	611.285	176.021	10.000	52	169.045	592.840	203.932	10.000	120	49.0514253615529	9.94123803853236	89.3235294117647	aFHF
118	99.305	479.524	263.924	10.000	9	155.572	462.783	304.314	10.000	120	71.2571994257423	8.88415470283856	86.2522522522522	aFHF
119	100.303	491.956	208.644	10.000	26	102.285	492.313	253.554	10.000	120	45.8629167083822	6.88580668582471	96.7127659574468	aFHF
120	658.335	428.159	246.905	10.000	0	616.047	431.837	275.717	10.000	120	51.3023778396284	8.50577058858835	79.3583333333333	aFHF
121	189.915	607.721	156.844	10.000	42	166.860	589.158	214.024	10.000	120	64.3868806046698	10.9575502757701	91.5897435897436	aFHF
122	191.423	367.430	339.201	10.000	0	224.312	355.937	311.571	10.000	120	47.4489623174206	6.60052671302073	59.2916666666667	aFHF
123	159.283	330.383	352.297	10.000	0	206.787	348.734	342.600	10.000	120	51.9638724788675	7.16842119529622	57.0333333333333	aFHF
124	161.099	335.359	353.953	10.000	0	208.781	361.526	327.964	10.000	120	60.3221265042936	7.61223088529807	58.3916666666667	aFHF
125	579.799	658.916	118.273	10.000	36	564.308	632.256	172.415	10.000	120	62.3063627970692	8.920177714718	95.7619047619048	aFHF
126	631.078	392.087	310.752	10.000	0	576.562	383.861	280.790	10.000	120	62.7485679199135	8.17108593791248	68.6833333333333	aFHF
127	635.174	387.911	318.097	10.000	0	564.058	380.842	300.289	10.000	120	74.8658023198843	8.97929747830645	68.3333333333333	aFHF
128	619.093	384.881	320.383	10.000	0	549.629	381.496	272.628	10.000	120	84.363769154774	9.72185032384024	69.2166666666667	aFHF
129	633.070	381.096	321.890	10.000	0	573.202	377.800	299.901	10.000	120	67.3251681691179	8.3688251136481	68.4833333333333	aFHF
130	175.254	307.049	369.695	10.000	0	230.338	344.649	353.937	10.000	120	68.9171669252299	7.72513348486745	54.5416666666667	aFHF
131	591.383	353.973	293.532	10.000	0	566.177	362.246	288.878	10.000	120	32.4780840567912	9.9912229549144	65.0083333333333	aFHF
132	190.835	505.351	175.380	10.000	56	136.532	578.718	152.267	10.000	120	94.1580759520924	20.0746494180477	89	aFHF
133	622.452	493.792	299.550	10.000	0	553.068	453.626	304.571	10.000	120	80.3284348969903	10.1442885662062	80.0916666666667	aFHF
134	628.977	488.900	313.419	10.000	0	558.460	443.300	303.156	10.000	120	84.601042889553	9.43191976623434	75.7166666666667	aFHF
135	178.464	592.206	147.407	10.000	42	147.667	595.941	168.573	10.000	120	38.3524790984885	10.4260281158666	86.5384615384615	aFHF
136	622.978	538.377	192.687	10.000	6	587.725	532.236	263.869	10.000	120	79.6703396126814	10.9274259002345	107.561403508772	aFHF
137	148.402	397.973	347.063	10.000	0	240.233	423.621	314.177	10.000	120	100.857530512104	11.3801614451164	69.6166666666667	aFHF
138	146.168	389.682	313.999	10.000	0	224.113	402.702	286.351	10.000	120	83.7218927700515	10.6404600636067	71.9416666666667	aFHF
139	165.556	343.698	371.399	10.000	0	234.834	356.309	342.778	10.000	120	76.0107903261109	7.96178202203389	59.3166666666667	aFHF
140	154.738	334.511	386.279	10.000	0	211.332	360.905	353.556	10.000	120	70.5013656108873	8.69972612865221	56.4083333333333	aFHF
141	163.220	340.732	377.580	10.000	0	225.958	363.733	346.706	10.000	120	79.5331976158384	10.2574020983503	59.0583333333333	aFHF
142	148.325	380.921	334.852	10.000	0	210.974	385.575	291.751	10.000	120	76.1856490291971	9.44505723944504	68.325	aFHF
143	583.817	614.783	83.195	10.000	52	593.058	609.380	114.156	10.000	120	32.7593041898023	8.24810012752807	96.0294117647059	aFHF
144	148.401	419.149	321.789	10.000	0	232.821	421.089	303.974	10.000	120	86.3010673456592	9.97058833027071	74.6166666666667	aFHF
145	148.794	424.120	315.022	10.000	0	225.819	429.890	304.146	10.000	120	78.002762136991	9.78473867837672	79.0416666666667	aFHF
146	146.524	427.722	319.363	10.000	0	243.222	421.422	296.037	10.000	120	99.6709359843681	10.7932379581667	75.3916666666667	aFHF
147	587.562	614.338	49.703	10.000	63	567.925	642.160	86.591	10.000	120	50.2035854994442	14.3717754226324	73.9298245614035	aFHF
148	579.950	606.072	65.813	10.000	52	578.160	602.786	88.040	10.000	120	22.5397742890208	9.07962830925854	83.3970588235294	aFHF
149	552.712	594.828	78.554	10.000	52	550.920	609.039	123.436	10.000	120	49.065556371043	11.9840913609075	89.3235294117647	aFHF
150	135.774	438.260	307.202	10.000	0	215.572	440.988	301.483	10.000	120	80.0491708201903	9.52242830454428	81.6	aFHF
151	639.335	442.326	314.730	10.000	0	547.492	440.377	297.542	10.000	120	93.4578118404236	10.9673917608571	76.875	aFHF
152	634.332	477.375	298.613	10.000	0	566.150	453.900	289.760	10.000	120	72.6514718226686	8.93059059018213	81.8166666666667	aFHF
153	643.487	482.815	296.044	10.000	0	558.183	458.815	291.106	10.000	120	88.7533450637214	10.6045898131274	83.5416666666667	aFHF
154	632.860	479.069	299.679	10.000	0	564.990	461.490	283.512	10.000	120	71.9494963846169	9.13337442177601	83.6583333333333	aFHF
155	630.886	413.730	315.399	10.000	0	557.962	411.779	267.669	10.000	120	87.1772279726764	9.68108849097038	74.3166666666667	aFHF
156	623.679	453.030	297.007	10.000	0	552.807	444.157	285.401	10.000	120	74.9657244212313	10.2892010474965	80.5916666666667	aFHF
157	624.845	450.017	300.708	10.000	0	536.554	440.170	285.650	10.000	120	90.1055350908034	10.4730545805951	78.775	aFHF
158	641.857	413.230	291.433	10.000	0	572.623	396.936	269.718	10.000	120	74.3665409777811	9.04203133837085	73.675	aFHF
159	649.590	414.057	289.942	10.000	0	589.412	405.819	287.095	10.000	120	60.8059350474935	8.76014286343397	72.4333333333333	aFHF
160	638.823	425.025	297.801	10.000	0	563.907	398.904	274.600	10.000	120	82.6619628245059	8.70894311960322	74.525	aFHF
161	636.350	432.223	297.139	10.000	0	548.012	433.749	277.065	10.000	120	90.6029601944661	10.6723068424631	79.525	aFHF
