Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
131	591.383	353.973	293.532	10.000	0	656.899	326.716	277.748	10.000	119	72.6940503824075	8.65556182859881	48.0840336134454	aFHF
132	190.379	505.423	174.421	10.000	56	143.256	589.265	139.125	10.000	119	102.449332398996	19.9374025121805	103.52380952381	aFHF
133	622.452	493.792	299.550	10.000	0	664.963	475.874	316.095	10.000	119	49.0099670475302	5.67506895724535	53.5882352941176	aFHF
134	628.977	488.900	313.419	10.000	0	670.338	465.586	314.731	10.000	119	47.4973289880599	6.07252412622842	46.9327731092437	aFHF
135	178.849	592.610	146.251	10.000	42	152.405	609.378	129.534	10.000	119	35.4951975484008	8.76775216692146	88.6493506493507	aFHF
136	622.929	537.383	192.758	10.000	6	606.644	545.879	197.075	10.000	119	20.9902611703618	6.08981801670866	93.8318584070797	aFHF
137	148.402	397.973	347.063	10.000	0	128.420	392.940	340.988	10.000	119	21.482947609674	4.19353544833893	58.3529411764706	aFHF
138	146.168	389.682	313.999	10.000	0	116.205	361.112	295.767	10.000	119	45.237507590494	5.88658571708937	61.5882352941176	aFHF
139	165.556	343.698	371.399	10.000	0	145.801	308.469	370.960	10.000	119	40.3922664256414	5.24085248551898	42.3949579831933	aFHF
140	154.738	334.511	386.279	10.000	0	111.346	312.832	374.983	10.000	119	49.8040592823517	6.50117105170185	40.0924369747899	aFHF
141	163.220	340.732	377.580	10.000	0	135.140	315.361	373.649	10.000	119	38.0476911520266	5.47236301690685	43.1596638655462	aFHF
142	148.325	380.921	334.852	10.000	0	102.956	341.570	308.956	10.000	119	65.4022184486122	7.23323629465482	56.4117647058824	aFHF
143	583.493	615.699	82.597	10.000	52	602.899	616.506	83.227	10.000	119	20.1187371621581	7.20675503274049	111.223880597015	aFHF
144	148.401	419.149	321.789	10.000	0	123.904	397.035	323.295	10.000	119	33.0363442438778	4.68455132871024	61.4873949579832	aFHF
145	148.794	424.120	315.022	10.000	0	122.661	420.552	320.320	10.000	119	26.9022883227431	6.0197451279128	58.5798319327731	aFHF
146	146.524	427.722	319.363	10.000	0	136.382	409.614	310.746	10.000	119	22.4724835521132	5.43672442920155	60.5210084033613	aFHF
147	588.080	614.954	49.080	10.000	63	590.604	637.358	70.930	10.000	119	31.6762568022171	8.13324962912028	99.75	aFHF
148	579.626	606.988	65.215	10.000	52	599.865	606.439	64.705	10.000	119	21.1581171421278	7.68118562077354	105.731343283582	aFHF
149	552.388	595.744	77.956	10.000	52	571.144	626.346	94.221	10.000	119	39.4058392246631	10.1900395619469	108.373134328358	aFHF
150	135.774	438.260	307.202	10.000	0	99.132	427.881	289.362	10.000	119	42.0624192837264	6.07315688749893	61.2352941176471	aFHF
151	639.335	442.326	314.730	10.000	0	659.460	462.551	309.190	10.000	119	29.0647183024367	4.53857564621992	51.4117647058824	aFHF
152	634.332	477.375	298.613	10.000	0	678.046	476.119	301.306	10.000	119	43.8148785345801	5.75080088655527	53.7731092436975	aFHF
153	643.487	482.815	296.044	10.000	0	670.051	481.095	302.622	10.000	119	27.4203315078429	5.04037374225159	54.4201680672269	aFHF
154	632.860	479.069	299.679	10.000	0	676.840	483.704	295.044	10.000	119	44.4657941568573	5.98793137971212	56.453781512605	aFHF
155	630.886	413.730	315.399	10.000	0	634.136	396.758	271.851	10.000	119	46.8512495884582	6.87910895574514	57.2521008403361	aFHF
156	623.679	453.030	297.007	10.000	0	664.660	466.347	296.965	10.000	119	43.0904468995159	6.18989264425811	60.8067226890756	aFHF
157	624.845	450.017	300.708	10.000	0	648.409	462.396	297.191	10.000	119	26.8490414354032	4.59350130950869	57.8739495798319	aFHF
158	641.857	413.230	291.433	10.000	0	643.724	385.547	257.518	10.000	119	47.2849046208195	7.47669974625339	59.6470588235294	aFHF
159	649.590	414.057	289.942	10.000	0	644.645	389.454	265.246	10.000	119	43.7678477766499	7.30486743304225	59.4705882352941	aFHF
160	638.823	425.025	297.801	10.000	0	639.026	384.866	275.601	10.000	119	46.4158834559895	6.58129266702437	57.8067226890756	aFHF
161	636.350	432.223	297.139	10.000	0	659.850	455.943	288.644	10.000	119	34.4536416797992	4.94388438779485	60.4033613445378	aFHF
162	639.020	462.989	295.225	10.000	0	670.811	464.918	286.852	10.000	119	32.9316846061662	4.861634281612	58.6806722689076	aFHF
163	643.475	449.502	299.512	10.000	0	679.934	464.836	278.747	10.000	119	44.6718643219644	6.06903416913142	55.8403361344538	aFHF
164	628.449	436.645	243.152	10.000	0	617.110	408.063	208.726	10.000	119	51.770292195428	7.16262841841779	61.7142857142857	aFHF
165	649.107	444.207	283.808	10.000	0	602.045	372.574	220.770	10.000	119	107.771273069404	10.749490996457	59.4621848739496	aFHF
166	650.924	439.802	275.781	10.000	0	610.117	405.617	213.658	10.000	119	82.7844262708875	8.95601334015156	60.2100840336134	aFHF
167	653.169	441.727	276.180	10.000	0	605.190	386.546	213.567	10.000	119	96.2668944705291	9.46140525581469	59.8487394957983	aFHF
168	648.049	448.645	270.971	10.000	0	613.621	410.817	206.614	10.000	119	82.207470566853	8.85734764912034	62.0336134453782	aFHF
169	649.113	436.657	262.490	10.000	0	596.135	370.143	210.473	10.000	119	99.6822399878735	10.0998845533352	56.2941176470588	aFHF
170	638.558	439.704	253.914	10.000	0	623.012	393.221	217.604	10.000	119	68.8573906200344	8.44024841646312	58.6890756302521	aFHF
171	639.514	446.169	253.597	10.000	0	593.352	411.040	210.521	10.000	119	72.2531567545668	8.72465210962767	61.6302521008403	aFHF
172	656.076	459.578	259.840	10.000	0	604.793	404.138	259.612	10.000	119	75.7467080010742	8.09978138457753	65.8403361344538	aFHF
173	641.389	450.596	245.863	10.000	0	617.796	394.743	212.309	10.000	119	69.6989646192826	7.99674804169324	61.7647058823529	aFHF
174	644.093	456.452	243.372	10.000	0	621.866	422.276	201.355	10.000	119	61.9761013052612	7.87311717557566	67.0504201680672	aFHF
175	585.779	621.826	88.367	10.000	52	586.394	650.292	84.926	10.000	119	28.6798162825357	6.91361838683443	108.507462686567	aFHF
176	579.031	644.699	117.797	10.000	29	573.862	654.410	84.442	10.000	119	35.1223306031932	6.1633146927033	94.5555555555556	aFHF
177	368.938	237.076	441.576	10.000	0	375.661	212.333	460.170	10.000	119	35.5658522883959	5.64492974083873	30.6890756302521	aFHF
178	601.435	554.184	160.163	10.000	24	601.241	524.494	166.906	10.000	119	30.4467040088085	5.73342618921674	112.736842105263	aFHF
179	175.443	637.852	140.353	10.000	45	179.852	645.393	151.809	10.000	119	15.3262874173754	3.79907203468084	69.3648648648649	aFHF
180	175.877	600.056	135.564	10.000	45	158.801	624.933	120.996	10.000	119	34.6692703845928	7.40231834511868	81.9864864864865	aFHF
181	187.483	583.464	136.388	10.000	45	163.592	609.047	131.368	10.000	119	35.3619876420995	8.97574459567346	89.9594594594595	aFHF
182	175.018	587.759	130.690	10.000	45	144.789	617.420	123.891	10.000	119	42.8928171492617	9.70308904881827	87.8378378378378	aFHF
183	569.829	612.755	137.588	10.000	16	590.726	602.349	153.463	10.000	119	29.1017864400109	6.56436072565463	123.21359223301	aFHF
184	607.733	560.368	146.535	10.000	31	612.433	546.890	153.446	10.000	119	22.0352839101293	5.16364635745774	129.409090909091	aFHF
185	630.823	559.133	143.687	10.000	31	636.519	542.208	139.042	10.000	119	19.7207029286484	4.2415268522096	124.318181818182	aFHF
186	163.763	608.250	159.850	10.000	38	146.166	588.303	147.861	10.000	119	29.1765888856117	7.59503289275891	91.2839506172839	aFHF
187	578.874	624.332	114.124	10.000	31	588.971	634.850	83.235	10.000	119	34.4993924729118	7.0835430416212	103.159090909091	aFHF
188	585.289	616.651	118.861	10.000	31	593.757	616.694	119.836	10.000	119	22.1365090517905	5.23044660266322	125.136363636364	aFHF
189	582.317	610.952	63.332	10.000	52	595.663	625.637	75.771	10.000	119	23.4199415456145	6.88843666646302	104.880597014925	aFHF
190	374.882	207.150	443.011	10.000	0	390.573	193.766	446.588	10.000	119	23.8298763949795	4.19773023647439	27.9411764705882	aFHF
191	372.826	208.473	441.944	10.000	0	396.929	191.177	449.104	10.000	119	30.5183850326323	4.12160802967337	28.7647058823529	aFHF
192	611.602	612.713	185.110	10.000	10	610.985	616.374	160.856	10.000	119	25.5515488767316	5.1007907015605	118.844036697248	aFHF
193	344.830	208.982	437.061	10.000	0	372.458	186.889	449.779	10.000	119	37.5919480341203	5.7625511429788	25.781512605042	aFHF
194	317.420	221.242	428.023	10.000	0	314.563	206.203	444.130	10.000	119	26.6575426661949	4.98943521048631	26.4453781512605	aFHF
195	311.128	241.491	434.915	10.000	0	283.179	218.720	440.504	10.000	119	38.1283550261482	5.79199350523737	27.0084033613445	aFHF
196	306.249	230.181	431.084	10.000	0	284.100	213.298	451.503	10.000	119	35.1522298154755	5.70615863049964	26.9327731092437	aFHF
197	300.952	228.550	438.417	10.000	0	292.686	209.226	456.582	10.000	119	27.9202100278634	4.10366608699175	26.5798319327731	aFHF
198	600.232	571.840	117.723	10.000	36	594.909	590.294	119.035	10.000	119	19.7308572799054	6.19217514618686	139.204819277108	aFHF
199	176.825	314.013	359.706	10.000	0	132.831	300.100	379.677	10.000	119	50.2780712239441	6.42726221834014	40.9915966386555	aFHF
200	179.389	319.103	346.454	10.000	0	127.541	303.445	366.446	10.000	119	57.7327301623611	6.39131401015416	42.0756302521008	aFHF
201	182.167	323.988	362.114	10.000	0	153.337	287.504	381.409	10.000	119	50.3442964098218	5.72029253829132	41.8319327731092	aFHF
