Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
94	163.545	307.147	280.648	10.000	29	227.700	285.068	320.945	10.000	148	78.9125748851221	10.1709078741311	256.285714285714	EM
95	150.604	304.682	282.102	10.000	29	225.171	283.140	330.155	10.000	148	92.4223444844373	10.8226727829431	251.714285714286	EM
96	147.240	297.491	274.792	10.000	29	221.031	286.241	318.076	10.000	148	86.2854497409616	10.8667789955516	260	EM
97	209.027	205.270	308.347	10.000	0	230.534	174.623	318.800	10.000	148	39.3023341927678	4.67951933166185	165.27027027027	EM
98	215.230	201.445	305.820	10.000	0	241.680	185.817	315.684	10.000	148	34.2416618463532	4.42665671227593	165.121621621622	EM
99	219.530	214.904	302.489	10.000	0	242.145	198.042	321.661	10.000	148	42.7915152688007	5.66901640057785	171.337837837838	EM
100	126.908	364.267	271.929	10.000	101	156.042	373.559	288.366	10.000	148	34.7175199143026	8.11013170205543	122.893617021277	EM
101	216.743	210.128	292.496	10.000	0	248.618	184.782	308.099	10.000	148	43.610651795175	4.6496430366324	161.716216216216	EM
102	223.452	205.376	299.640	10.000	0	266.331	204.628	300.689	10.000	148	42.9658095815731	4.49095388194428	158.743243243243	EM
103	221.596	207.711	293.579	10.000	0	255.410	193.952	311.463	10.000	148	40.6513730764411	4.36439135512217	164.925675675676	EM
104	247.613	202.867	309.211	10.000	0	279.762	208.453	296.477	10.000	148	36.3923752591116	4.3130524538946	150.385135135135	EM
105	226.187	205.857	303.311	10.000	0	263.311	203.378	307.880	10.000	148	38.7767151522663	4.221912362883	158.993243243243	EM
106	226.075	199.267	288.378	10.000	0	254.380	187.151	304.369	10.000	148	34.6941286387193	4.02687451569453	153.027027027027	EM
107	217.601	188.329	285.558	10.000	0	257.473	169.223	302.520	10.000	148	47.3553066086579	4.65068185122746	137.337837837838	EM
108	206.304	194.015	282.862	10.000	0	233.677	173.684	309.291	10.000	148	45.9403839448475	5.05897526214491	158.777027027027	EM
109	172.632	182.703	296.001	10.000	0	135.676	170.682	309.887	10.000	148	41.2682853169356	3.80728730263763	166.006756756757	EM
110	178.961	188.139	291.300	10.000	0	158.804	175.398	317.769	10.000	148	35.6264745800086	4.15628835671723	174.378378378378	EM
